"id","cluster_id","sentiment","id","name","address","rating","rubric","text"
1676,1,POSITIVE,1676,Планета,"Ростов-на-Дону, улица 1-й Конной Армии, 4А",5,Туристический клуб;Турагентство,"Хочу выразить огромную благодарность вашему клубу!!!! Организация была на высшем уровне. Гид Ксюша, потрясающий человек, необыкновенно добрая, внимательная и заботливая.\nФотограф Татьяна радовала нас постоянно красивыми идеями, выбирала необыкновенные локации и образы. Проявила заботу о каждой, подготовила много образов красивых. \nСпасибо огромное всем!!! \nЯ счастлива,подзарядилась положительными эмоциями.Увидела красивые новые места!!! \n\n\n"
1677,1,POSITIVE,1677,Планета,"Ростов-на-Дону, улица 1-й Конной Армии, 4А",5,Туристический клуб;Турагентство,"уже 5-й год в подряд не представляю свою жизнь без путешествий в компании этих замечательных людей. Всегда все на высшем уровне. Дальше-больше, организовала для своих коллег сплав по реке дон, все остались в диком восторге, за это путешествие хочу поблагодарить гида Захарова Алексея, все четко, организовано, вкусно и очень познавательно. Уже планируем новые путешествия с любимой ""Планетой"""
3223,1,POSITIVE,3223,Планета,"Архангельская область, Мирный, улица Ленина, 36",4,Кинотеатр;Развлекательный центр,"Персонал - золото! Кресла - удобные. Зал - один, от этого страдает репертуар, не все фильмы, выходящие в прокат, можно посмотреть. Кафе есть, мороженое вкусное"
3799,-1,POSITIVE,3799,Планета,"Пермь, улица Крупской, 80А",5,"Спортивный клуб, секция","Шикарный спортивный клуб,  который более 50 лет притягивает к себе молодёжь , воспитывает спортсменов самого высокого уровня.  Соблюдает традиции,  и Фамильные Динстии. И всё это абсолютно бесплатно)))))."
5752,0,POSITIVE,5752,Планета,"Республика Башкортостан, Уфа, улица Энтузиастов, 20",4,Торговый центр;Развлекательный центр,"Хорошее место для приобретения многих предметов одежды, обуви, приемлемые цены и хорошие акции 🤩"
5753,0,POSITIVE,5753,Планета,"Республика Башкортостан, Уфа, улица Энтузиастов, 20",5,Торговый центр;Развлекательный центр,"Хороший трк. Много магазинов, хороший футкорт, детская зона огромна. Вообщем есть всё."
5754,-1,POSITIVE,5754,Планета,"Республика Башкортостан, Уфа, улица Энтузиастов, 20",5,Торговый центр;Развлекательный центр,"Ну что сказать, Планета это реально то место, где можно найти всё, ну или почти всё))) если ты ограничен во времени и что то нужно прям срочно, то конечно надо ехать в Планету. Надеюсь в скором времени ещё и вернуться либо найдётся замена сетевым магазинам одежды, в которых можно одеться бюджетно и красиво. Фуд-корт супер, детские зоны отличные, хорошая навигация, парковка огромная. В общем 5 из 5."
5755,0,POSITIVE,5755,Планета,"Республика Башкортостан, Уфа, улица Энтузиастов, 20",5,Торговый центр;Развлекательный центр,выбор товаров много одежы много и разнообразны с детьми тоже можно сходить есть развлечение и много ещё чего парковка посторная можно куда хочешьт ставить есть под земная есть на крыше порковка
5756,0,POSITIVE,5756,Планета,"Республика Башкортостан, Уфа, улица Энтузиастов, 20",5,Торговый центр;Развлекательный центр,"Лучший торговый центр в Уфе. Есть абсолютно все, кино, аквапарк, много кафе и ресторанов да еще очень приличного уровня, про магазины  вообще молчу, продуктовые гипермаркеты чего только стоят. Детские площадки, парки развлечений, удобная и огромная парковка как на улице, так и внутри помещения, еще и на крыше. Если Вы гость столицы то Вам сюда, лучше места просто не найти."
5757,0,POSITIVE,5757,Планета,"Республика Башкортостан, Уфа, улица Энтузиастов, 20",5,Торговый центр;Развлекательный центр,"Отличный торговый центр, с огромным выбором бутиков и кафе. На любой вкус и кошелёк. Удобный подъезд, парковка. Рекомендую для посещения."
5758,0,POSITIVE,5758,Планета,"Республика Башкортостан, Уфа, улица Энтузиастов, 20",4,Торговый центр;Развлекательный центр,"Живу рядом с Тц планета. Прекрасный центр для всей семьи. Все необходимое можно купить: и вещи как для детей, так и для взрослых, технику и т. Д. Можно на - 1 этаже вкусно поесть: блинчики с разной начинкой, печеный картофель, пицца и другое. Рядом магазин Леруа и О, кей. Остановка удобная, однако в центр проблемно уехать, 75 автобус не идет"
5759,0,POSITIVE,5759,Планета,"Республика Башкортостан, Уфа, улица Энтузиастов, 20",5,Торговый центр;Развлекательный центр,"Замечательное место для отдыха с семьёй. Можно сходить в аквапарк, по пути домой приодеть детей к школе, очень большой выбор школьной одежды, в зоне фудкорте хочется отметить кафе ""Мир супа"", очень вкусно и сытно"
5760,0,POSITIVE,5760,Планета,"Республика Башкортостан, Уфа, улица Энтузиастов, 20",5,Торговый центр;Развлекательный центр,"Очень хорошее место, много что есть и для детей что очень удобно, аквапарк, батутный центр, игровые автоматы (не на деньги) детские хорошие детская плошадка с мягкими шарами детские кафе, магазины одежды, игрушек, мороженное,  но вы все знаете тут всё на высоте, туалеты, подзарядки для телефонов, терминалы всё бесплатно рекомендую"
